id_cliente,edad,nivel_ingreso,visitas_mes,compras_mes,gasto_publicidad_dirigida,satisfaccion,miembro_premium,abandono,tipo_dispositivo,region,ingreso_anual
CL-100000,44.0,28565.77,9,1,31.36,3.9,0,0,móvil,norte,23.22
CL-100001,36.0,29673.44,11,3,24.66,3.7,0,0,tablet,sur,93.47
CL-100002,46.0,30642.95,9,0,0.0,2.9,0,0,móvil,este,0.0
CL-100003,56.0,39468.61,8,0,6.81,3.1,0,0,móvil,este,0.0
CL-100004,35.0,22527.83,9,2,26.49,2.3,0,0,móvil,sur,33.76
CL-100005,35.0,21536.53,10,0,29.09,3.5,0,0,tablet,este,0.0
CL-100006,57.0,42366.2,11,3,22.17,2.8,1,0,escritorio,oeste,91.26
CL-100007,47.0,25373.55,7,1,0.0,3.0,0,0,móvil,norte,22.51
CL-100008,32.0,17369.65,6,1,5.37,4.4,1,0,móvil,norte,32.51
CL-100009,45.0,25148.7,15,3,38.83,4.2,0,0,tablet,norte,74.34
CL-100010,32.0,26699.47,9,0,13.5,3.2,0,0,escritorio,sur,0.0
CL-100011,32.0,45549.63,7,1,16.17,3.3,0,0,móvil,norte,34.39
CL-100012,41.0,39248.26,16,2,32.35,5.0,0,1,móvil,este,70.65
CL-100013,18.0,41475.21,9,1,37.34,3.0,0,1,móvil,este,32.2
CL-100014,18.0,38199.74,9,0,20.1,4.1,0,0,móvil,este,0.0
CL-100015,31.0,39462.44,12,2,15.95,4.7,0,0,móvil,norte,66.84
CL-100016,26.0,23119.18,3,0,12.38,3.8,0,0,móvil,oeste,0.0
CL-100017,42.0,28013.98,16,2,27.3,3.9,0,0,escritorio,sur,70.6
CL-100018,27.0,20100.85,10,0,23.97,2.4,0,0,tablet,oeste,0.0
CL-100019,21.0,27895.12,10,3,28.8,3.3,0,1,móvil,sur,115.55
CL-100020,56.0,36841.05,8,0,29.86,3.7,0,0,móvil,sur,0.0
CL-100021,35.0,31345.83,10,2,17.26,4.6,0,0,móvil,este,56.63
CL-100022,39.0,43114.81,10,0,9.5,3.2,0,0,móvil,norte,0.0
CL-100023,21.0,18585.84,8,0,17.99,3.7,0,0,móvil,norte,0.0
CL-100024,31.0,35002.38,7,1,9.66,4.5,0,0,móvil,oeste,34.34
CL-100025,39.0,17516.97,12,3,30.74,4.4,0,1,escritorio,norte,84.67
CL-100026,24.0,30941.76,14,2,37.22,3.9,1,0,móvil,sur,75.51
CL-100027,43.0,37403.33,18,4,33.5,3.2,0,0,escritorio,sur,131.2
CL-100028,31.0,27854.97,16,0,15.01,4.0,0,1,escritorio,sur,0.0
CL-100029,34.0,35511.27,10,3,38.53,3.7,0,1,móvil,este,87.96
CL-100030,31.0,20402.68,10,0,23.95,2.8,0,0,móvil,norte,0.0
CL-100031,60.0,13363.1,9,2,8.47,3.5,0,1,móvil,sur,47.49
CL-100032,38.0,35570.3,11,0,11.02,4.0,0,0,escritorio,este,0.0
CL-100033,25.0,47440.1,6,1,6.04,4.7,1,0,móvil,sur,30.49
CL-100034,48.0,20039.55,13,3,33.96,3.1,1,0,móvil,este,89.22
CL-100035,23.0,42221.94,5,1,0.0,4.2,0,0,escritorio,norte,28.97
CL-100036,41.0,30434.23,8,1,26.03,3.2,0,0,escritorio,sur,29.45
CL-100037,18.0,16643.08,8,2,14.17,3.6,0,0,escritorio,norte,64.23
CL-100038,22.0,18684.95,15,3,40.18,3.3,0,1,escritorio,oeste,94.66
CL-100039,40.0,30157.85,13,2,34.32,5.0,0,0,móvil,sur,60.96
CL-100040,47.0,25955.38,8,2,24.28,4.1,1,0,móvil,oeste,70.28
CL-100041,40.0,16870.87,11,2,19.63,4.2,0,1,móvil,este,57.23
CL-100042,37.0,13059.61,9,1,29.5,3.1,0,1,tablet,norte,28.23
CL-100043,34.0,21532.81,6,1,28.7,4.0,0,0,móvil,sur,26.12
CL-100044,20.0,31938.09,11,1,18.04,2.8,0,1,móvil,oeste,28.18
CL-100045,29.0,29935.99,16,2,30.1,1.8,0,0,móvil,sur,47.28
CL-100046,32.0,24987.62,13,2,27.8,3.3,0,1,escritorio,sur,70.68
